City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
camacha,33.0833,-16.3333,75.52,64.0,75.0,10.36,PT
tautira,-17.7333,-149.15,71.62,80.0,100.0,23.89,PF
beringovskiy,63.05,179.3167,45.45,98.0,100.0,4.99,RU
klaksvik,62.2266,-6.589,52.72,91.0,90.0,16.44,FO
ottersberg,53.1,9.15,66.18,70.0,84.0,9.48,DE
georgetown,5.4112,100.3354,82.89,69.0,20.0,0.0,MY
kropotkin,45.4375,40.5756,88.75,35.0,0.0,4.72,RU
evensk,61.95,159.2333,52.66,74.0,92.0,9.62,RU
cahuacan,19.6392,-99.4161,63.32,53.0,26.0,4.36,MX
rocha,-34.4833,-54.3333,53.35,65.0,72.0,14.16,UY
faanui,-16.4833,-151.75,79.45,73.0,93.0,24.65,PF
bodmin,50.4715,-4.7243,82.36,54.0,0.0,9.22,GB
banda aceh,5.5577,95.3222,80.17,78.0,100.0,13.06,ID
gimli,50.6336,-96.9907,69.42,66.0,42.0,13.8,CA
sinnamary,5.3833,-52.95,80.62,83.0,56.0,9.4,GF
beloha,-25.1667,45.05,69.35,74.0,72.0,8.1,MG
tacuati,-23.45,-56.5833,60.64,26.0,100.0,4.5,PY
erzin,36.9559,36.2,84.92,70.0,0.0,6.82,TR
moranbah,-22.0016,148.0466,53.76,48.0,1.0,4.23,AU
yumen,40.2833,97.2,81.48,29.0,18.0,12.24,CN
kutum,14.2,24.6667,83.43,36.0,83.0,1.79,SD
inuvik,68.3499,-133.7218,63.75,61.0,100.0,10.36,CA
rena,61.1348,11.3641,70.83,46.0,91.0,5.5,NO
borlange,,,,,,,
botwood,49.1499,-55.3482,84.9,31.0,100.0,6.24,CA
asau,46.4333,26.4,70.75,95.0,69.0,2.77,RO
idrinskoye,54.3708,92.1358,59.02,93.0,100.0,1.68,RU
nikolskoye,59.7035,30.7861,69.69,54.0,0.0,7.36,RU
areosa,41.7178,-8.8571,77.31,78.0,8.0,10.71,PT
alekseyevka,50.6309,38.6903,82.18,57.0,0.0,7.23,RU
saint george,37.1041,-113.5841,88.27,42.0,1.0,0.0,US
mersing,2.4312,103.8405,78.17,86.0,98.0,5.99,MY
westport,41.1415,-73.3579,78.28,74.0,90.0,1.01,US
la primavera,5.4906,-70.4092,73.76,92.0,100.0,6.69,CO
suao,,,,,,,
grand-santi,4.25,-54.3833,93.97,41.0,3.0,1.99,GF
coroiesti,46.25,27.4833,73.42,51.0,75.0,4.74,RO
istok,42.7808,20.4875,74.32,79.0,89.0,4.63,XK
pisco,-13.7,-76.2167,66.02,77.0,20.0,11.5,PE
jacksonville,30.3322,-81.6556,93.42,62.0,75.0,9.22,US
palmer,42.1584,-72.3287,74.07,77.0,90.0,1.01,US
yirol,,,,,,,
bengkulu,-3.8004,102.2655,75.79,90.0,84.0,5.93,ID
yavatmal,20.4,78.1333,84.4,66.0,99.0,8.93,IN
te anau,-45.4167,167.7167,35.89,93.0,42.0,0.63,NZ
ust-maya,60.4167,134.5333,61.95,69.0,68.0,3.13,RU
faya,18.3851,42.4509,67.14,60.0,97.0,5.68,SA
nurota,40.5614,65.6886,86.09,15.0,16.0,7.63,UZ
tshikapa,-6.4167,20.8,81.93,22.0,42.0,3.2,CD
samusu,,,,,,,
mackay,-21.15,149.2,54.05,78.0,1.0,4.88,AU
cockburn town,21.4612,-71.1419,84.16,74.0,40.0,13.8,TC
tosya,41.0155,34.0401,85.59,37.0,25.0,4.0,TR
rafraf,37.1904,10.1837,84.51,77.0,0.0,18.16,TN
vila velha,-20.3297,-40.2925,76.96,72.0,68.0,12.46,BR
dianopolis,,,,,,,
basco,20.4487,121.9702,79.56,90.0,100.0,18.43,PH
kyaikto,17.3,97.0167,76.15,92.0,100.0,10.49,MM
roma,43.2128,-75.4557,82.85,66.0,1.0,9.22,US
kaeo,-35.1,173.7833,46.33,96.0,17.0,4.63,NZ
umm kaddadah,13.6017,26.6876,91.9,31.0,50.0,3.09,SD
ostrovnoy,68.0531,39.5131,52.99,75.0,96.0,8.37,RU
saint-joseph,-21.3667,55.6167,70.18,78.0,25.0,17.0,RE
general roca,-39.0333,-67.5833,54.0,18.0,98.0,9.69,AR
utraula,27.3167,82.4167,80.46,90.0,95.0,5.17,IN
labutta,,,,,,,
abu samrah,35.3029,37.1841,91.78,19.0,0.0,12.8,SY
one hundred mile house,,,,,,,
black river,18.0264,-77.8487,86.99,51.0,40.0,13.96,JM
andapa,-14.65,49.65,64.13,99.0,100.0,0.63,MG
mianyang,31.4593,104.7542,75.65,88.0,38.0,1.19,CN
cuamba,-14.8031,36.5372,69.13,52.0,98.0,4.07,MZ
ulladulla,-35.35,150.4667,50.09,63.0,4.0,12.71,AU
smithers,54.7804,-127.1743,61.99,68.0,91.0,2.42,CA
sao luis do quitunde,-9.3183,-35.5611,80.04,81.0,53.0,7.83,BR
mollendo,-17.0231,-72.0147,63.9,75.0,50.0,8.43,PE
gigmoto,13.7796,124.39,81.68,83.0,100.0,11.32,PH
komsomolskiy,40.4272,71.7189,86.72,30.0,100.0,0.0,UZ
hedaru,-4.5,37.9,71.11,53.0,94.0,6.69,TZ
waddan,29.1614,16.139,92.08,22.0,0.0,11.03,LY
scarborough,54.2797,-0.4044,78.62,78.0,83.0,4.0,GB
kavaratti,10.5669,72.642,82.29,78.0,100.0,16.06,IN
nuuk,64.1835,-51.7216,47.01,76.0,75.0,21.85,GL
moyale,3.5167,39.0584,69.55,52.0,87.0,6.04,KE
naryan-mar,67.6713,53.087,57.54,90.0,99.0,4.38,RU
middle island,40.8843,-72.9373,77.99,78.0,90.0,1.99,US
liwale,-9.7667,37.9333,73.81,45.0,70.0,6.62,TZ
cordoba,-31.4135,-64.1811,66.42,19.0,0.0,3.0,AR
hay river,60.8156,-115.7999,63.27,59.0,55.0,3.78,CA
zyryanka,65.75,150.85,52.2,53.0,98.0,10.85,RU
piacabucu,-10.4056,-36.4344,78.93,76.0,22.0,9.48,BR
rafaela,-31.2503,-61.4867,64.06,26.0,0.0,1.99,AR
otuzco,-7.9,-78.5833,32.32,34.0,0.0,2.37,PE
port blair,11.6667,92.75,81.18,85.0,100.0,18.05,IN
elbrus,43.2577,42.6443,60.91,72.0,18.0,2.86,RU
salinas,36.6777,-121.6555,82.58,72.0,40.0,5.75,US
pirgos,35.1167,25.7178,80.28,70.0,9.0,4.74,GR
hasaki,35.7333,140.8333,73.8,91.0,0.0,6.71,JP
almiros,,,,,,,
bela,25.9333,81.9833,83.86,76.0,100.0,4.43,IN
nemuro,43.3236,145.575,61.29,99.0,98.0,2.01,JP
xiongyue,40.1774,122.1228,73.13,93.0,53.0,7.29,CN
anadyr,64.75,177.4833,47.21,96.0,100.0,2.35,RU
pella,59.7775,30.8181,69.85,55.0,1.0,7.65,RU
dharchula,29.85,80.5333,72.88,94.0,100.0,1.86,IN
cranbrook,49.4999,-115.7688,81.3,23.0,1.0,2.73,CA
winnemucca,40.973,-117.7357,84.25,26.0,75.0,0.0,US
bourail,-21.5667,165.4833,67.55,84.0,100.0,4.12,NC
el fuerte,26.4189,-108.6194,90.18,49.0,90.0,1.21,MX
ballater,57.0493,-3.0402,71.82,73.0,99.0,2.17,GB
huamuxtitlan,17.8167,-98.5667,81.7,56.0,8.0,3.02,MX
wahiawa,21.5028,-158.0236,71.92,90.0,90.0,4.61,US
ciudad bolivar,8.1222,-63.5497,88.86,55.0,54.0,8.37,VE
batagay-alyta,67.8006,130.4114,54.61,77.0,100.0,5.68,RU
sigulda,57.1519,24.8647,67.77,60.0,13.0,5.99,LV
talara,-4.5772,-81.2719,75.96,69.0,40.0,11.5,PE
necochea,-38.5473,-58.7368,58.03,39.0,91.0,10.4,AR
novyy urengoy,66.0833,76.6333,55.31,75.0,83.0,9.06,RU
shimoda,34.6667,138.95,76.1,90.0,7.0,5.55,JP
cavalcante,-13.7975,-47.4583,87.84,22.0,0.0,6.96,BR
mareeba,-17.0,145.4333,67.48,91.0,90.0,2.15,AU
kavali,14.9167,79.9833,84.47,64.0,22.0,13.09,IN
sinor,21.9167,73.3333,82.42,78.0,100.0,13.18,IN
ozernovskiy,51.5,156.5167,50.07,99.0,100.0,3.56,RU
kells,53.7264,-6.8792,78.13,72.0,29.0,8.68,IE
souillac,-20.5167,57.5167,70.36,79.0,40.0,20.58,MU
kotido,2.9806,34.1331,68.95,67.0,90.0,6.8,UG
atasu,48.6814,71.6433,76.28,37.0,19.0,8.84,KZ
aklavik,68.2191,-135.0107,64.02,62.0,100.0,10.94,CA
sechura,-5.5569,-80.8222,74.01,63.0,6.0,8.25,PE
half moon bay,37.4636,-122.4286,84.79,69.0,40.0,1.01,US
laguna,38.421,-121.4238,94.84,35.0,1.0,1.99,US
hami,42.8,93.45,87.26,17.0,88.0,5.84,CN
fort nelson,58.8053,-122.7002,64.49,55.0,33.0,2.46,CA
tabiauea,,,,,,,
guarapari,-20.6667,-40.4975,76.91,79.0,99.0,10.49,BR
neiafu,-18.65,-173.9833,74.08,94.0,40.0,0.0,TO
abdulino,53.7,53.6667,75.67,54.0,74.0,7.4,RU
coachella,33.6803,-116.1739,103.44,26.0,1.0,4.0,US
menongue,-14.6585,17.691,63.99,31.0,5.0,4.99,AO
san policarpo,12.1791,125.5072,79.5,86.0,100.0,7.09,PH
warrnambool,-38.3833,142.4833,51.82,85.0,95.0,19.77,AU
gomel,52.4345,30.9754,78.78,61.0,75.0,11.18,BY
acapulco,16.8634,-99.8901,89.42,58.0,20.0,8.05,MX
mayo,38.8876,-76.5119,89.08,62.0,1.0,5.01,US
khonuu,,,,,,,
ruteng,-8.6136,120.4721,59.81,88.0,31.0,1.05,ID
bornem,51.0971,4.2419,79.05,61.0,20.0,5.75,BE
agadir,30.4202,-9.5982,88.25,27.0,1.0,10.6,MA
chitrakonda,18.1167,82.0833,76.66,88.0,89.0,3.02,IN
hervey bay,-25.2986,152.8535,53.02,64.0,0.0,1.01,AU
leningradskiy,69.3833,178.4167,38.73,92.0,100.0,0.67,RU
luderitz,-26.6481,15.1594,62.19,67.0,3.0,10.2,NA
coquimbo,-29.9533,-71.3436,53.33,76.0,40.0,12.66,CL
dingle,10.9995,122.6711,77.09,90.0,100.0,6.64,PH
galle,6.0367,80.217,80.83,83.0,95.0,14.41,LK
marovoay,-16.1,46.6333,77.36,57.0,97.0,9.15,MG
mehamn,71.0357,27.8492,48.38,80.0,94.0,21.23,NO
ntoum,0.3833,9.7833,78.57,68.0,60.0,9.33,GA
takoradi,4.8845,-1.7554,76.53,81.0,100.0,9.04,GH
kisangani,0.5167,25.2,74.73,69.0,100.0,2.37,CD
lavrentiya,65.5833,-171.0,45.23,99.0,100.0,5.84,RU
gornopravdinsk,60.05,69.9,59.22,87.0,33.0,5.55,RU
saint-leu,-21.15,55.2833,70.66,71.0,17.0,5.59,RE
malaya vishera,58.8454,32.2222,67.44,52.0,6.0,5.14,RU
meiktila,20.8667,95.8667,77.92,87.0,100.0,14.09,MM
pilar do sul,-23.8131,-47.7164,63.28,26.0,26.0,4.03,BR
kittery,43.0881,-70.7362,71.02,91.0,90.0,1.01,US
nouakchott,18.0858,-15.9785,80.53,78.0,73.0,16.62,MR
lac du bonnet,50.2536,-96.0612,80.69,44.0,24.0,8.5,CA
manaure,11.7751,-72.4445,90.79,49.0,1.0,24.4,CO
moron,-34.6534,-58.6198,55.83,56.0,36.0,4.0,AR
touros,-5.1989,-35.4608,83.3,64.0,42.0,15.08,BR
bilma,18.6853,12.9164,104.43,13.0,24.0,2.8,NE
devils lake,48.1128,-98.8651,94.84,30.0,59.0,5.59,US
xiaoyi,34.6178,109.703,76.06,81.0,90.0,6.04,CN
bhairab bazar,24.0667,90.9667,82.45,95.0,100.0,5.86,BD
amahai,-3.3333,128.9167,76.59,90.0,97.0,1.95,ID
warmbad,-28.45,18.7333,63.64,19.0,2.0,6.85,NA
heihe,50.2441,127.4902,70.59,95.0,62.0,6.42,CN
hun,29.1268,15.9477,92.08,22.0,0.0,11.27,LY
bulungu,-4.55,18.6,84.29,20.0,49.0,1.95,CD
urzhum,57.1141,49.9996,72.91,58.0,31.0,6.08,RU
xapuri,-10.6517,-68.5044,82.9,32.0,37.0,6.51,BR
wonji,,,,,,,
daru,-9.0763,143.2092,77.09,84.0,100.0,15.3,PG
omboue,-1.5746,9.2618,74.43,75.0,13.0,11.43,GA
eureka,40.8021,-124.1637,56.93,89.0,46.0,3.0,US
bouar,5.934,15.596,68.74,91.0,55.0,2.91,CF
nhulunbuy,-12.2333,136.7667,74.01,83.0,17.0,5.75,AU
marzuq,14.4,46.4667,80.28,62.0,86.0,8.5,YE
viseu,40.661,-7.9097,77.86,41.0,0.0,10.47,PT
honiara,-9.4333,159.95,74.46,83.0,92.0,5.14,SB
palabuhanratu,,,,,,,
namatanai,-3.6667,152.4333,77.88,84.0,100.0,4.43,PG
ekhabi,53.5102,142.9671,53.33,91.0,1.0,7.54,RU
vanimo,-2.6741,141.3028,77.59,87.0,59.0,0.89,PG
severnyy,50.677,36.5532,84.24,51.0,40.0,8.95,RU
tura,25.5198,90.2201,75.33,91.0,100.0,4.97,IN
teguldet,57.3064,88.1667,57.92,84.0,70.0,2.48,RU
baherden,38.4362,57.4316,91.17,13.0,2.0,3.09,TM
port lincoln,-34.7333,135.8667,55.74,81.0,100.0,17.76,AU
ofunato,39.0717,141.7167,74.05,85.0,54.0,3.56,JP
zhigansk,66.7697,123.3711,59.61,67.0,82.0,12.33,RU
linqing,36.8456,115.7117,76.64,83.0,100.0,5.37,CN
lovozero,68.005,35.0117,55.31,63.0,93.0,7.54,RU
los llanos de aridane,28.6585,-17.9182,71.35,73.0,20.0,14.97,ES
puerto escondido,15.85,-97.0667,88.63,58.0,40.0,4.61,MX
maniitsoq,65.4167,-52.9,41.88,89.0,100.0,22.08,GL
maghama,,,,,,,
kidal,18.4411,1.4078,109.45,10.0,99.0,6.4,ML
praia,14.9215,-23.5087,82.94,69.0,40.0,8.05,CV
bredy,52.4153,60.3411,68.25,62.0,34.0,6.64,RU
chopovychi,50.8332,28.9533,72.27,84.0,94.0,9.6,UA
west melbourne,28.0717,-80.6534,93.97,68.0,40.0,12.66,US
sept-iles,50.2001,-66.3821,69.26,74.0,80.0,7.0,CA
sao filipe,14.8961,-24.4956,75.56,83.0,23.0,9.08,CV
mocambique,,,,,,,
karratha,-20.7377,116.8463,68.68,71.0,59.0,0.56,AU
dunda,-8.1167,34.25,66.81,43.0,1.0,7.9,TZ
igrim,63.1906,64.4162,66.76,52.0,92.0,4.63,RU
mizan teferi,6.9833,35.5833,61.88,98.0,76.0,1.32,ET
adwa,14.1646,38.8955,65.97,76.0,85.0,10.47,ET
berdigestyakh,62.0989,126.6992,62.82,97.0,93.0,5.59,RU
verkhnyaya inta,65.9811,60.3094,65.59,58.0,46.0,10.71,RU
buraydah,26.326,43.975,101.3,12.0,11.0,9.75,SA
carauari,-4.8828,-66.8958,90.68,42.0,3.0,5.55,BR
madingou,-4.1536,13.55,87.64,37.0,61.0,4.07,CG
deputatskiy,69.3,139.9,50.36,92.0,100.0,3.29,RU
sarangani,5.4033,125.4636,84.07,75.0,99.0,10.04,PH
carbonia,39.1672,8.5222,79.84,47.0,13.0,11.07,IT
solnechnyy,50.7214,136.6319,67.77,74.0,100.0,2.55,RU
ziyang,29.2497,117.8547,75.07,92.0,82.0,4.12,CN
ouadda,8.0777,22.4007,69.67,96.0,88.0,3.76,CF
arlit,18.7369,7.3853,106.52,13.0,99.0,3.78,NE
hjelset,62.7833,7.4833,63.3,58.0,75.0,24.16,NO
sosnogorsk,63.6023,53.8817,70.3,47.0,29.0,8.68,RU
nadym,65.5333,72.5167,58.82,64.0,30.0,6.55,RU
da lat,11.9465,108.4419,60.12,97.0,100.0,7.52,VN
antofagasta,-23.65,-70.4,65.21,56.0,96.0,7.54,CL
khowst,33.3833,69.8833,76.12,83.0,76.0,7.85,AF
chapais,49.7834,-74.8492,74.08,42.0,36.0,9.53,CA
ucluelet,48.9329,-125.5528,58.08,92.0,0.0,1.01,CA
toliary,,,,,,,
prince rupert,54.3161,-130.3201,58.42,75.0,100.0,1.83,CA
kununurra,-15.7667,128.7333,55.38,82.0,82.0,0.0,AU
burdeos,14.8436,121.9697,80.96,79.0,100.0,8.99,PH
biloela,-24.4167,150.5,49.19,55.0,0.0,3.53,AU
maryville,35.7565,-83.9705,83.26,81.0,90.0,1.01,US
svetlyy,54.675,20.1347,71.65,71.0,0.0,10.0,RU
okulovka,58.4008,33.2908,66.9,54.0,35.0,4.94,RU
saint-prosper,46.2117,-70.4811,73.69,69.0,100.0,3.94,CA
ghanzi,-21.5667,21.7833,55.18,29.0,0.0,7.45,BW
benguela,-12.5763,13.4055,71.2,80.0,99.0,4.45,AO
valparaiso,-33.0393,-71.6273,64.63,53.0,0.0,6.91,CL
tombouctou,20.0,-3.0,115.36,6.0,71.0,3.8,ML
yhu,-25.05,-55.9167,58.75,25.0,75.0,3.42,PY
fenoarivo,-18.933,47.4354,60.87,77.0,75.0,10.36,MG
mamallapuram,12.6264,80.1722,80.65,67.0,100.0,10.85,IN
teya,60.3778,92.6267,52.65,94.0,21.0,5.28,RU
bani walid,31.7566,13.9942,89.96,27.0,0.0,16.55,LY
charlottesville,38.0293,-78.4767,89.33,50.0,1.0,1.99,US
biak,-0.9131,122.8766,75.15,78.0,76.0,6.38,ID
puerto carreno,6.189,-67.4859,76.91,86.0,100.0,6.42,CO
fereydunshahr,32.941,50.121,68.74,40.0,77.0,7.52,IR
aljezur,37.3191,-8.8033,68.81,71.0,2.0,16.22,PT
gherghesti,46.5,27.5167,72.48,57.0,82.0,7.45,RO
fairview,40.8126,-73.999,82.08,79.0,90.0,6.91,US
turinsk,58.0458,63.696,63.88,74.0,76.0,2.21,RU
muroto,33.2833,134.15,77.36,86.0,79.0,8.34,JP
jabiru,,,,,,,
warqla,,,,,,,
gobabis,-22.45,18.9667,52.88,30.0,0.0,3.76,NA
adrar,20.5022,-10.0711,111.18,8.0,17.0,5.5,MR
nelson bay,-32.7167,152.15,49.08,83.0,41.0,1.01,AU
tazovskiy,67.4667,78.7,47.62,66.0,26.0,6.15,RU
porbandar,21.6422,69.6093,83.21,80.0,100.0,22.88,IN
tiarei,-17.5333,-149.3333,71.62,79.0,100.0,24.49,PF
asadabad,34.7824,48.1185,82.94,26.0,70.0,8.48,IR
manggar,-2.8833,108.2667,80.6,82.0,54.0,8.32,ID
moanda,-1.5575,13.2178,84.85,43.0,100.0,3.53,GA
vanderhoof,54.0166,-124.0198,67.62,52.0,41.0,2.1,CA
vestmannaeyjar,63.4427,-20.2734,52.93,88.0,63.0,17.74,IS
marsala,37.7966,12.4352,80.01,76.0,0.0,13.51,IT
manaus,-3.1019,-60.025,90.1,66.0,40.0,3.44,BR
bambanglipuro,-7.95,110.2833,75.96,88.0,17.0,5.41,ID
erenhot,43.6475,111.9767,82.85,35.0,7.0,10.4,CN
shchelyayur,,,,,,,
grindavik,63.8424,-22.4338,53.56,87.0,75.0,8.05,IS
genteng,-8.3667,114.15,73.06,90.0,80.0,1.01,ID
yanchukan,,,,,,,
waipawa,-41.4122,175.5153,47.03,90.0,83.0,1.95,NZ
mattawa,46.7379,-119.9028,89.02,23.0,3.0,1.52,US
yelizovo,53.1873,158.3805,53.06,99.0,100.0,0.85,RU
ilebo,-4.3167,20.5833,82.38,26.0,32.0,1.25,CD
huarmey,-10.0681,-78.1522,69.94,67.0,36.0,10.83,PE
zorritos,-3.6805,-80.6782,71.89,74.0,18.0,9.84,PE
richards bay,-28.783,32.0377,63.41,66.0,0.0,12.44,ZA
santa maria,-29.6842,-53.8069,53.64,58.0,0.0,9.46,BR
san juan,-31.5375,-68.5364,60.06,20.0,0.0,3.85,AR
esfarayen,37.0765,57.5101,80.55,16.0,0.0,12.35,IR
isla vista,34.4133,-119.861,97.12,69.0,1.0,5.75,US
warin chamrap,15.1932,104.8628,75.88,88.0,100.0,11.03,TH
hofn,64.2539,-15.2082,59.02,67.0,20.0,9.22,IS
